date,rubric,language,name,street,town
2020-03-10T23:33:30.562Z,BP-BE,de,Einwohnergemeinde Burgistein,Burgiwil,Burgistein
2020-03-10T23:33:31.466Z,BP-BE,de,Einwohnergemeinde Oberburg,Emmentalstrasse,Oberburg
2020-03-10T23:33:26.399Z,BP-BE,de,Kanton Bern - RSTA - Bern-Mittelland,Poststrasse,Ostermundigen
2020-03-10T23:33:27.591Z,BP-BE,de,Kanton Bern - RSTA Oberaargau,Schloss / Städli,Wangen an der Aare
2020-03-10T23:33:28.720Z,BP-BE,de,Einwohnergemeinde Vechigen - Bauabteilung,Kernstrasse,Boll
2020-03-10T23:33:29.652Z,BP-BE,de,Kanton Bern - RSTA Oberaargau,Schloss / Städli,Wangen an der Aare
2020-03-10T23:33:32.384Z,BP-BE,de,Kanton Bern - RSTA Interlaken-Oberhasli,Schloss,Interlaken
2020-03-10T23:33:34.467Z,BP-BE,de,Kanton Bern - RSTA - Bern-Mittelland,Poststrasse,Ostermundigen
2020-03-10T23:33:35.596Z,BP-BE,fr,Kanton Bern - Préfecture du Jura bernois,Rue de la Préfecture,Courtelary
2020-03-10T23:33:33.296Z,BP-BE,de,Einwohnergemeinde Grindelwald,Spillstattstrasse,Grindelwald
2020-03-10T23:33:36.530Z,BP-BE,de,Kanton Bern - RSTA Emmental,Amthaus / Dorfstrasse,Langnau i. E.
2020-03-10T23:33:37.575Z,BP-BE,de,Kanton Bern - RSTA Oberaargau,Schloss / Städli,Wangen an der Aare
2020-03-10T23:33:38.475Z,BP-BE,de,Einwohnergemeinde Auswil,Hauptstrasse,Auswil
2020-03-10T23:33:39.509Z,BP-BE,fr,Kanton Bern - Préfecture du Jura bernois,Rue de la Préfecture,Courtelary
2020-03-03T23:32:56.074Z,BP-BE,fr,Commune mixte de Plateau de Diesse,La Chaîne,Prêles
2020-03-03T23:33:01.150Z,BP-BE,de,Kanton Bern - RSTA - Bern-Mittelland,Poststrasse,Ostermundigen
2020-03-03T23:33:02.349Z,BP-BE,de,Kanton Bern - RSTA Emmental,Amthaus / Dorfstrasse,Langnau i. E.
2020-03-03T23:32:57.120Z,BP-BE,de,Kanton Bern - RSTA Emmental,Amthaus / Dorfstrasse,Langnau i. E.
2020-03-03T23:33:11.297Z,BP-BE,de,Kanton Bern - RSTA Frutigen-Niedersimmental,Amthaus / Postfach,Frutigen
2020-03-03T23:33:12.514Z,BP-BE,de,Kanton Bern - RSTA Interlaken-Oberhasli,Schloss,Interlaken
2020-03-03T23:32:58.519Z,BP-BE,de,Kanton Bern - RSTA - Bern-Mittelland,Poststrasse,Ostermundigen
2020-03-03T23:33:03.582Z,BP-BE,de,Einwohnergemeinde Vechigen - Bauabteilung,Kernstrasse,Boll
2020-03-03T23:33:04.738Z,BP-BE,de,Kanton Bern - RSTA Interlaken-Oberhasli,Schloss,Interlaken
2020-03-03T23:32:59.819Z,BP-BE,de,Einwohnergemeinde Saanen,Schönriedstrasse,Saanen
2020-03-03T23:33:05.854Z,BP-BE,de,Gemeinde Rapperswil BE,Hauptstrasse,Rapperswil BE
2020-03-03T23:33:06.869Z,BP-BE,de,Kanton Bern - RSTA Frutigen-Niedersimmental,Amthaus / Postfach,Frutigen
2020-03-03T23:33:07.885Z,BP-BE,de,Einwohnergemeinde Münsingen - Abteilung Bau,Thunstrasse,Münsingen
2020-03-03T23:33:09.127Z,BP-BE,de,"Einwohnergemeinde Spiez, Gemeindeschreiberei",Sonnenfelsstrasse,Spiez
2020-03-03T23:33:10.072Z,BP-BE,fr,Kanton Bern - Préfecture du Jura bernois,Rue de la Préfecture,Courtelary
2020-03-03T23:33:14.960Z,BP-BE,de,Kanton Bern - RSTA Emmental,Amthaus / Dorfstrasse,Langnau i. E.
2020-03-03T23:33:13.620Z,BP-BE,de,Kanton Bern - RSTA Interlaken-Oberhasli,Schloss,Interlaken
2020-03-03T23:33:16.177Z,BP-BE,de,Kanton Bern - RSTA Emmental,Amthaus / Dorfstrasse,Langnau i. E.
2020-02-25T23:34:38.404Z,BP-BE,de,Kanton Bern - RSTA - Bern-Mittelland,Poststrasse,Ostermundigen
2020-02-25T23:34:39.563Z,BP-BE,de,Kanton Bern - RSTA Emmental,Amthaus / Dorfstrasse,Langnau i. E.
2020-02-25T23:34:40.781Z,BP-BE,de,Kanton Bern - RSTA Interlaken-Oberhasli,Schloss,Interlaken
2020-02-25T23:34:41.847Z,BP-BE,fr,Kanton Bern - Préfecture du Jura bernois,Rue de la Préfecture,Courtelary
2020-02-25T23:34:43.131Z,BP-BE,de,Einwohnergemeinde Wattenwil,Vorgasse,Wattenwil
2020-02-25T23:34:46.372Z,BP-BE,de,Einwohnergemeinde Grindelwald,Spillstattstrasse,Grindelwald
2020-02-25T23:34:47.471Z,BP-BE,de,Stadt Bern - Bauinspektorat,Bundesgasse,Bern
2020-02-25T23:34:44.185Z,BP-BE,de,Stadt Langenthal,Jurastrasse,Langenthal
2020-02-25T23:34:45.380Z,BP-BE,fr,Kanton Bern - Préfecture du Jura bernois,Rue de la Préfecture,Courtelary
2020-02-25T23:34:48.860Z,BP-BE,de,"Einwohnergemeinde Spiez, Gemeindeschreiberei",Sonnenfelsstrasse,Spiez
2020-02-25T23:34:50.059Z,BP-BE,de,Einwohnergemeinde Wynau,Schulhausstrasse,Wynau
2020-02-25T23:34:51.156Z,BP-BE,de,Kanton Bern - RSTA Emmental,Amthaus / Dorfstrasse,Langnau i. E.
2020-02-25T23:34:52.183Z,BP-BE,fr,Kanton Bern - Préfecture du Jura bernois,Rue de la Préfecture,Courtelary
2020-02-25T23:34:53.394Z,BP-BE,de,Kanton Bern - RSTA - Bern-Mittelland,Poststrasse,Ostermundigen
2020-02-25T23:34:54.401Z,BP-BE,de,Kanton Bern - RSTA - Bern-Mittelland,Poststrasse,Ostermundigen
2020-02-25T23:34:55.559Z,BP-BE,de,Einwohnergemeinde Münsingen - Abteilung Bau,Thunstrasse,Münsingen
2020-02-25T23:34:56.702Z,BP-BE,de,Gemeinde Wald (BE),Kirchstrasse,Zimmerwald
2020-02-25T23:34:57.859Z,BP-BE,fr,Kanton Bern - Préfecture du Jura bernois,Rue de la Préfecture,Courtelary
2020-02-25T23:34:59.288Z,BP-BE,de,Kanton Bern - RSTA Oberaargau,Schloss / Städli,Wangen an der Aare
2020-02-25T23:35:00.183Z,BP-BE,fr,Kanton Bern - Préfecture du Jura bernois,Rue de la Préfecture,Courtelary
2020-02-25T23:35:01.739Z,BP-BE,fr,Commune de Tramelan - Services Techniques Tramelan (STT),Rue de la Promenade,Tramelan
2020-02-25T23:35:03.110Z,BP-BE,de,Gemeinde Arni (BE),Dreierweg,Arni BE
2020-02-25T23:35:06.819Z,BP-BE,de,Gemeinde Wald (BE),Kirchstrasse,Zimmerwald
2020-02-25T23:35:08.226Z,BP-BE,de,Einwohnergemeinde Meiringen,Rudenz,Meiringen
2020-02-25T23:35:04.452Z,BP-BE,de,Kanton Bern - RSTA Frutigen-Niedersimmental,Amthaus / Postfach,Frutigen
2020-02-25T23:35:09.643Z,BP-BE,de,Kanton Bern - RSTA Interlaken-Oberhasli,Schloss,Interlaken
2020-02-25T23:35:05.636Z,BP-BE,fr,Kanton Bern - Préfecture du Jura bernois,Rue de la Préfecture,Courtelary
2020-02-25T23:35:10.778Z,BP-BE,de,Einwohnergemeinde Wilderswil,Kirchgasse,Wilderswil
2020-02-25T23:35:11.938Z,BP-BE,de,Kanton Bern - RSTA Frutigen-Niedersimmental,Amthaus / Postfach,Frutigen
2020-02-18T23:33:27.395Z,BP-BE,de,Kanton Bern - RSTA Interlaken-Oberhasli,Schloss,Interlaken
2020-02-18T23:33:20.157Z,BP-BE,fr,Kanton Bern - Préfecture du Jura bernois,Rue de la Préfecture,Courtelary
2020-02-18T23:33:24.274Z,BP-BE,de,Kanton Bern - RSTA - Bern-Mittelland,Poststrasse,Ostermundigen
2020-02-18T23:33:21.306Z,BP-BE,de,Einwohnergemeinde Grindelwald,Spillstattstrasse,Grindelwald
2020-02-18T23:33:25.246Z,BP-BE,de,Kanton Bern - RSTA Frutigen-Niedersimmental,Amthaus / Postfach,Frutigen
2020-02-18T23:33:26.163Z,BP-BE,de,Einwohnergemeinde Gondiswil,Dorf,Gondiswil
2020-02-18T23:33:22.266Z,BP-BE,de,Einwohnergemeinde Vechigen - Bauabteilung,Kernstrasse,Boll
2020-02-18T23:33:23.307Z,BP-BE,de,Gemeinde Lyss,Bahnhofstrasse,Lyss
2020-02-18T23:33:28.275Z,BP-BE,de,Gemeinde Urtenen-Schönbühl,Zentrumsplatz,Urtenen-Schönbühl
2020-02-18T23:33:29.571Z,BP-BE,de,Kanton Bern - RSTA Interlaken-Oberhasli,Schloss,Interlaken
2020-02-18T23:33:30.465Z,BP-BE,de,Einwohnergemeinde Vechigen - Bauabteilung,Kernstrasse,Boll
2020-02-18T23:33:33.565Z,BP-BE,de,Einwohnergemeinde Riggisberg,Vordere Gasse,Riggisberg
2020-02-18T23:33:34.521Z,BP-BE,de,Kanton Bern - RSTA - Bern-Mittelland,Poststrasse,Ostermundigen
2020-02-18T23:33:35.392Z,BP-BE,de,Kanton Bern - RSTA Seeland,Amthaus / Stadtplatz,Aarberg
2020-02-18T23:33:31.395Z,BP-BE,fr,Kanton Bern - Préfecture du Jura bernois,Rue de la Préfecture,Courtelary
2020-02-18T23:33:37.460Z,BP-BE,de,Einwohnergemeinde Grindelwald,Spillstattstrasse,Grindelwald
2020-02-18T23:33:38.402Z,BP-BE,de,Kanton Bern - RSTA Interlaken-Oberhasli,Schloss,Interlaken
2020-02-18T23:33:36.461Z,BP-BE,de,Gemeinde Eriswil - Abteilung Bau,Ahornstrasse,Eriswil
2020-03-02T10:22:51.716Z,BP-BE,de,Kanton Bern - RSTA Emmental,Amthaus / Dorfstrasse,Langnau i. E.
2020-02-18T23:33:42.391Z,BP-BE,de,Kanton Bern - RSTA Interlaken-Oberhasli,Schloss,Interlaken
2020-02-18T23:33:41.217Z,BP-BE,de,Gemeinde Lyss,Bahnhofstrasse,Lyss
2020-02-18T23:33:39.293Z,BP-BE,de,Einwohnergemeinde Walkringen,Unterdorfstrasse,Walkringen
2020-02-18T23:33:40.262Z,BP-BE,de,Gemeinde Aeschi bei Spiez - Bauverwaltung,Scheidgasse,Aeschi b. Spiez
2020-02-11T23:37:47.618Z,BP-BE,de,Gemeinde Lyss,Bahnhofstrasse,Lyss
2020-02-11T23:37:42.149Z,BP-BE,de,Kanton Bern - RSTA - Bern-Mittelland,Poststrasse,Ostermundigen
2020-02-11T23:37:43.218Z,BP-BE,fr,Commune d'Orvin,La Charrière,Orvin
2020-02-11T23:37:45.479Z,BP-BE,de,Kanton Bern - RSTA Emmental,Amthaus / Dorfstrasse,Langnau i. E.
2020-02-11T23:37:46.510Z,BP-BE,de,Einwohnergemeinde Erlenbach im Simmental,Graben,Erlenbach i. S.
2020-02-11T23:37:44.226Z,BP-BE,de,Gemeinde Lauenen,Lauenenstrasse,Lauenen b. Gstaad
2020-02-11T23:37:50.135Z,BP-BE,de,Kanton Bern - RSTA Frutigen-Niedersimmental,Amthaus / Postfach,Frutigen
2020-02-11T23:37:51.340Z,BP-BE,de,Kanton Bern - RSTA Emmental,Amthaus / Dorfstrasse,Langnau i. E.
2020-02-11T23:37:52.627Z,BP-BE,de,Gemeinde Twann-Tüscherz,Moos,Twann
2020-02-11T23:37:53.813Z,BP-BE,de,Kanton Bern - RSTA - Bern-Mittelland,Poststrasse,Ostermundigen
2020-02-11T23:37:55.643Z,BP-BE,de,Kanton Bern - RSTA Frutigen-Niedersimmental,Amthaus / Postfach,Frutigen
2020-02-11T23:37:56.740Z,BP-BE,fr,Kanton Bern - Préfecture du Jura bernois,Rue de la Préfecture,Courtelary
2020-02-11T23:37:58.768Z,BP-BE,de,Kanton Bern - RSTA - Bern-Mittelland,Poststrasse,Ostermundigen
2020-02-11T23:37:59.909Z,BP-BE,de,Einwohnergemeinde Linden,Dorfplatz,Linden
2020-02-11T23:37:48.934Z,BP-BE,de,Einwohnergemeinde Fraubrunnen - Bauverwaltung,Dorfstrasse,Grafenried
2020-02-11T23:38:01.138Z,BP-BE,de,Gemeinde Köniz - Bauinspektorat,Landorfstrasse,Köniz
